"Station Name","Date","Ammonia Nitrogen","Biochemical Oxygen Demand","Cadmium","Calcium","Chromium","Conductivity","Copper","Dissolved Oxygen","Dissolved Oxygen Saturation","E Coli","Fecal Coliform","Fluoride","Gage height","Hardness","Lead","Magnesium","Nitrate + Nitrite as N","Organic Carbon","pH","Temperature","Total Kjeldahl Nitrogen","Total Phosphorus","Total Suspended Solids","Turbidity","Zinc"
"CC2.5CC",NA,0.0633333333333333,2.68333333333333,0.0914166666666667,20496.6666666667,0.298375,278.736363636364,2.48739130434783,6.86363636363636,63.7272727272727,NA,2677.5,0.1125,0.610909090909091,75.3,0.333875,5844.16666666667,0.126666666666667,NA,7.14545454545455,13.9,0.584166666666667,0.0941666666666667,8.725,16.2545454545455,4.81217391304348
"EL1.9EC",NA,0.214545454545455,2.89090909090909,0.0713181818181818,17563.6363636364,0.360454545454546,369.090909090909,3.32818181818182,7.54545454545454,76.5454545454545,3950.56666666667,8139.09090909091,0.329090909090909,NA,60.9,0.762363636363636,4143.63636363636,1.04181818181818,8.28071428571429,7.48181818181818,16.8,1.27272727272727,0.169090909090909,17.1363636363636,23.7,16.0604545454545
"EL5.5GC",NA,0.0538461538461538,3.3,0.0701538461538462,20423.0769230769,0.612269230769231,237.181818181818,5.19653846153846,8.31818181818182,78.1818181818182,NA,10833.8461538462,0.127692307692308,NA,68.7230769230769,1.73692307692308,4314.61538461538,0.208461538461538,NA,7.34545454545455,14.3454545454545,0.729230769230769,0.216153846153846,34.3538461538462,39.4454545454545,11.6803846153846
"EL7.1EC",NA,0.0407692307692308,2.65384615384615,0.0981923076923077,14876.9230769231,0.437884615384615,213.363636363636,3.12884615384615,7.95454545454545,75.7272727272727,NA,4911.84615384615,0.0992307692307692,NA,57.4,0.441538461538461,4916.92307692308,0.104615384615385,6.765,7.35454545454545,14.5909090909091,0.556153846153846,0.118461538461538,9.08461538461538,26.4272727272727,7.43384615384615
"EL7.1SEC",NA,0.0423076923076923,3.06153846153846,0.0862307692307692,21692.3076923077,0.387461538461538,276.090909090909,5.94230769230769,7.7,73.0909090909091,2006.83333333333,11091.8461538462,0.12,NA,75.0846153846154,1.39080769230769,5084.61538461538,0.317692307692308,5.79,7.47272727272727,14.6545454545455,0.571538461538462,0.13,10.4923076923077,17.9463636363636,18.4423076923077
"EL8.6SECUT",NA,0.113076923076923,2.82307692307692,0.0696923076923077,33599.2307692308,0.504538461538461,492.818181818182,12.605,8.77272727272727,87.1818181818182,726.6,4743.76923076923,0.392307692307692,NA,115.669230769231,0.777076923076923,7723.07692307692,0.722307692307692,NA,7.58181818181818,15.6727272727273,0.772307692307692,0.327692307692308,7.53076923076923,6.66363636363636,155.257692307692
"EN10.3WC",NA,0.0438461538461538,2.36153846153846,0.0705,17720.7692307692,0.235961538461538,210.636363636364,1.92196153846154,6.62,61.9,NA,1653.09090909091,0.0707692307692308,NA,77.5230769230769,0.214115384615385,8090,0.102307692307692,NA,7.28181818181818,13.7545454545455,0.501818181818182,0.0961538461538462,7.3,12.0545454545455,3.02038461538462
"EN13.3ER",NA,0.0323076923076923,2.01538461538462,0.069,15443.8461538462,0.0773846153846154,120.363636363636,0.896192307692308,8.77,85.5,NA,166.25,0.0792307692307692,NA,51.6384615384615,0.128730769230769,3171.53846153846,0.184615384615385,NA,7.5,15.1454545454545,0.308,0.0469230769230769,3.09230769230769,6.41818181818182,2.68
"EN4.9ER",NA,0.0327272727272727,2.03636363636364,0.0892272727272727,9490,0.131045454545455,127.636363636364,1.00777272727273,8.69,85.4,NA,298.8,0.143636363636364,NA,40.2454545454545,0.164045454545455,4023.63636363636,0.143636363636364,NA,7.55454545454545,15.4636363636364,0.352222222222222,0.0554545454545455,4.9,16.5636363636364,2.68
"EN8.9ER",NA,0.0315384615384615,2.03846153846154,0.122269230769231,9096.15384615385,0.136423076923077,124.181818181818,0.952692307692308,9.39,93,63.9,215.333333333333,0.0746153846153846,NA,36.2307692307692,0.177461538461538,3280.76923076923,0.163846153846154,3.995,7.7,15.4,0.320909090909091,0.05,4.82307692307692,6.4,2.68
